Subject Code,Course Number,Description
ANTH,233,"This course examines contemporary issues of Japan from a global perspective using scholarly readings, novels and films on Japanese culture and society, We will cover a wide variety of topics related to everyday life in Japan, including class, gender, sexuality, immigration, popular culture,  and contemporary literature. Issues explored will include, but not be limited to, the construction of gender and sexuality, the process of identity formation, minority relations, the complexity of power relationships, the contested relationship between globalization and localization, and the dangers of ethnocentrism in the Japanese context.  Reading assignments, films, and class discussions will introduce students to major concepts and research methods in social-cultural anthropology while fostering a deeper understanding of contemporary Japan. The broad and interdisciplinary introduction to contemporary Japan provided by this course will be ideal for students seeking a general introduction to Japanese society and culture as well as those seeking a solid background for advanced Japan studies."
ANTH,234,"This course explores connections between what we eat and who we are through cross-cultural study of the personal identities and social groups that are formed via food production, preparation, and consumption. We will examine food and culture through stories and case studies focused on the particular topics of fasting, feasting, and famine. We learn how fasting is a practice tied to spirituality, in some contexts, or physical aesthetics in others. Feasting, too, is associated with religious celebrations and holidays, as well as to cycles of planting and harvesting. Finally, famines mark times of scarcity that highlight environmental crises and global economic inequities, but famine also calls to attention human resilience and capacity for creativity. We will explore these themes through an interdisciplinary lens as well as through food writing and creative non-fiction."
ANTH,235,"This course examines collective social action in response to crises and transformations in societies, with a particular focus on millenarian thinking, i.e., the belief that following a major transformation everything will be different, due either to rapture (the rising up of a new, and better, society) or to rupture (the destruction of existing, and good, social order). Various examples of millenarian thinking, including apocalyptic expectations as found in major world and syncretic religions and throughout history and across cultures, are examined. These belief systems often exemplify a wish for or fear of a complete reconfiguration of society through supernatural intercession. We explore the pacifist and violent dimensions of these movements through case studies that include the Shakers, the Peoples Temple Agricultural Project (AKA ""Jonestown""), and Aum Shinrikyo. Also of interest to us are millenarian movements stemming from changes provoked by colonial conquest, including the cargo cults in the Pacific Islands, the events surrounding the Boxer Rebellion in China, the Native American Ghost Dance, and the Santa Brígada in Brazil. Prerequisite: One 100-level Social Studies course and permission of the instructor."
ANTH,316,"Contemporary societies and cultures are experiencing an intensity of visible and aesthetic forms such as architecture, mass media, digital media, fashion, food products and more. Human subjects animate, inhabit and utilise these forms in very creative and impressive ways. In looking at this human relation to the social and material world, as cultural critics and social scientists, how can we account for the elegance as well as disagreements that is the theatre of this contemporary society? As artists, how can we imbue and inform our creative practice with the type of critical rigor required for an immersive engagement with contemporary everyday life? These are questions this interdisciplinary course asks. It seeks to make affect central to social science research agenda, while locating fieldwork, textual and qualitative analysis within creative art practice.

The course will utilise texts from a range of disciplinary perspectives including visual anthropology, visual culture, art and art history and cultural studies.
"
ANTH,317,"Does a treasured family heirloom hold the same importance in the life of its owner as a newly purchased item of clothing or technology? Do some objects contaminate those with whom they come into contact, while others have medicinal powers or bestow good fortune? In what circumstances are objects and owners' inseparable? This course examines material culture, or things, from two related perspectives: the object and its owner. As Appadurai observes, ""objects have social lives"" that are sometimes independent from their owners. Objects such as kula shells are treasured by their temporary owners and desired by others because they have a lengthy and renowned history of circulation between the Pacific's Trobriand Islands, whereas some Pacific Northwest Indians amass objects only to give them away in a ritualized ceremony--a Potlach--in order to become ""big men."" In certain societies the presence of key resources, such as designer clothing or cooking implements, permits their possessors to have social lives that lead to the expansion of social networks and community building or political advancement. In this course, we will examine a range of theories that correspond to these related approaches to material culture. From classic texts on circulation and exchange to theories on materiality, consumption and object fetishism, our investigation of objects and owners looks at an array of case studies from across the globe to better understand the life of objects and the lives objects engendered in order to illuminate connections between people and possessions. Prerequisite: One 200-level course in social studies or permission of instructor."
ANTH,328,"According to Evans-Pritchard, the Azande in Africa believed granaries collapsed, crushing their victims, because they were directed to do so by a witch intent on harming the unsuspecting individual seated nearby. Since Evans-Pritchard's pioneering work in the 1930s, a new generation of scholars have emerged whose passions for the preternatural have led to the exploration of witchcraft, sorcery, possession, divination, rumor and gossip as a means to explain the inexplicable and restore equilibrium in an uncertain world. This course examines in a cross-cultural perspective how people create meaning, form community, and devise interpretations of their everyday lives via these diverse beliefs and practices. We will examine how witchcraft accusations are linked to ethnic tensions within nation-states and the manner in which these indictments are commentary upon indigenous societies' ambivalence toward modernity. Bewitchment, cannibalism, and zombification index the unequal distribution of resources within families or regions where internal and transnational migration are frequent and are modes of expression in religious conversion narratives and highlight gender inequities. To further our exploration of these subjects we will look to our own history and do so through a fieldtrip to Salem, Massachusetts to examine the social, economic, and religious underpinnings the 17th century witchcraft trials. Whether these beliefs and practices manifest in localized settings or envelop entire nations, recourse to the preternatural remains a potent and persistent form of expression and interaction in the historic and contemporary world. Prerequisites for this course are completion of one anthropology course and completion of Sophomore Seminar. Students may also seek permission of instructor."
ANTH,330,"Individuals in communities impacted by dispossession and displacement access multiple forms of redress to come to terms with the upheaval and change in their lives. By drawing on ethnographic case studies from across the globe, this course examines how individuals and communities look for relief from and explanations for their upheaval and the means by which they receive compensation for their losses and seek to restore equilibrium to their lives. Of particular interest in this course are the ways in which social relations, identities, and gender are impacted by the processes of disruption and restoration. The course will also examine the complex causes and characteristics of those events leading to dispossession and displacement, as well as the local, national, and international actors involved. An anthropological exploration will enable us to understand the complex and often long-ranging causes and consequences of dispossession and displacement, including humans' capacity for resilience, forgiveness, and rebirth. Prerequisites: Junior or Senior standing or completion of Sophomore Seminar and permission of the instructor.
"
ANTH,331,"This course examines collective social action in response to crises and transformations in societies, with a particular focus on millenarian thinking, i.e., the belief that following a major transformation everything will be different, due either to rapture (the rising up of a new, and better, society) or to rupture (the destruction of existing, and good, social order). Various examples of millenarian thinking, including apocalyptic expectations as found in major world and syncretic religions and throughout history and across cultures, are examined. These belief systems often exemplify a wish for or fear of a complete reconfiguration of society through supernatural intercession. We explore the pacifist and violent dimensions of these movements through case studies that include the Shakers, the Peoples Temple Agricultural Project (AKA ""Jonestown""), and Aum Shinrikyo. Also of interest to us are millenarian movements stemming from changes provoked by colonial conquest, including the cargo cults in the Pacific Islands, the events surrounding the Boxer Rebellion in China, the Native American Ghost Dance, and the Santa Brígada in Brazil. Prerequisite: One 200-level Social Studies course and permission of the instructor."
ARAB,100,"This accelerated course introduces the rudiments of written and spoken Modern Standard Arabic. In addition to regular practice in writing the alphabet, word formation, elementary calligraphy, and basic grammar, the course offers exercises in phonology, morphology, and syntax. By the second semester students can read and understand a variety of Arabic texts about customs and institutions of the Middle East. The course also explores selected topics on Arab culture and civilization, such as the role of classical Arabic in Muslim art and architecture and the connections between the Arabic language and Islam. No prerequisites."
ARAB,101,"This is the second half of a year-long accelerated course that introduces the rudiments of written and spoken Modern Standard Arabic. In addition to regular practice in writing the alphabet, word formation, elementary calligraphy, and basic grammar, the course offers exercises in phonology, morphology, and syntax. By the second semester, students can read and understand a variety of Arabic texts about customs and institutions of the Middle East. The course also explores selected topics on Arab culture and civilization, such as the role of classical Arabic in Muslim art and architecture and the connections between the Arabic language and Islam. Successful completion of this year-long course fulfills the general language requirement or the cultural perspectives requirement. Prerequisite: Arabic 100."
ARAB,204,"This course features reading, the study of grammar and syntax, literary analysis, translation, and discussion of selections of modern Arabic prose and poetry by authors from Palestine, Lebanon, Syria, Iraq, and Egypt. The course will also include reading and discussion of essays and articles in English, from a wide variety of sources, which offer perspectives on the Arab world in its relations with the West, and on the social, cultural, and political implications of U.S. involvement in countries of the Middle East. In addition to a thorough review of Modern Standard Arabic grammar, the course will include written and oral assignments based on the readings, and will culminate in a dossier, prepared by each student, which includes translations, analysis of grammar and syntax, and an essay  on topics drawn from the readings.
Prerequisite: Arabic 101CP or Permission of Instructor."
ARTH,100,"This course is an introduction to the practice of art historical analysis. We use several writing techniques to investigate the process of looking at art. The objects we analyze are taken from a variety of periods, cultures, and media. We focus mostly on 19th- and 20th-century modern art. This includes works by Impressionists such as Claude Monet; Post-Impressionists Vincent van Gogh and Paul Gauguin; American modernists Georgia O'Keeffe, Jacob Lawrence, and Jackson Pollock; and postmodernist Barbara Kruger. We compare our own observations to primary sources--writings on art by artists' contemporaries such as poets and critics, as well as the artists themselves. We think carefully about the role of language and how it can enrich our experience of art. We consider some basic questions in approaching art's ""history,"" including the art object's relationship to specific historical events. The course moves toward the integration of careful looking, creative writing, original thinking, and historical grounding. Students regularly read their writing aloud for class appreciation and critique. Longer paper assignments are written on topics which students choose. No prerequisites."
ARTH,102,"This course, the second half of the western art survey, considers developments in “western” art from the year 1400 to the present and the art that results from selected encounters with global cultures.  We focus on the changing roles of art and the artist in society; on art as the expression of individual, social, political and cultural values; on stylistic issues; and on the relationships between art and philosophy, history, and politics (both high politics and cultural politics).  There are no prerequisites for this course; it is an excellent introduction to art history for students with no previous exposure.

"
ARTH,103,"The nude is a defining motif in the art and thought of classical Greece. This course examines and analyzes the principles and meanings of ""ideal form"" and their impact and power in the development of Western ideas and art, focusing on the ideas of rationality, idealism, symmetry, and universality. Does the ""spirit"" of the nude originate in the Apollonian or the Dionysian; in the rational or the irrational?
How do our contemporary understandings of the body, of sexuality, and of what it means to be human illuminate, contribute to, or obscure our understanding of these principles? This course satisfies one half of the arts requirement."
ARTH,103,"The nude is a defining motif in the art and thought of classical Greece. This course examines and analyzes the principles and meanings of ""ideal form"" and their impact and power in the development of Western ideas and art, focusing on the ideas of rationality, idealism, symmetry, and universality. Does the ""spirit"" of the nude originate in the Apollonian or the Dionysian; in the rational or the irrational?
How do our contemporary understandings of the body, of sexuality, and of what it means to be human illuminate, contribute to, or obscure our understanding of these principles? This course satisfies one half of the arts requirement."
ARTH,112,"This course is a chronological and thematic survey of the history of photography from the 1830s to the present mainly in England, France, and the United States. We look carefully at the subject, style, and techniques of representative photos and place them in their social and political contexts. We analyze a range of photographs including early technical experiments, motion studies, popular portraits, avant-garde photos, landscapes, and documentary photography. Some of the issues we discuss include the status of photography as popular art and fine art; photography as a medium of personal and political expression; the relationship of photos to specific historical events; and the histories of women and black photographers. This course is one of a three-semester series in the history and analysis of photography. The courses can be taken independently of each other. No prerequisites."
ARTH,113,"This course surveys the art and architecture of three continents before and after colonization. We consider the role of material products in select examples of cultures from Africa such as Ghana, Nigeria, and Congo; from the high Pre-Columbian civilizations of Mesoamerica; and from North America considering native peoples of the Northeast, Northwest Coast, Plains, and the Southwest. We look at baskets, textiles, ceramics, costume, masks, temples, beads, totem poles, prehistoric rock art, tools, weapons, funerary statuary, and caves and other dwellings, and relate these objects to social practices. The major goal is to situate the arts in their indigenous contexts of time, space, and function, considering their role in ritual celebration; worship; enhancing the hunt, the harvest, and birthing; constructing identity; worshipping ancestors; and maintaining or resisting gender and power relations. We briefly note what these global arts are and have been for the West, in considering the discourse of the ethnographic museum, for example.
The course borrows methods and information from anthropology, geography, literature, and mythology/religious studies, used to deepen an understanding of the art objects. The course also utilizes computer technologies to offer students
images of ancient ruins, for example, and regular access to our library's databases to locate recent scholarly thinking on these topics. Particular attention is given to locations where Simon's Rock offers study abroad trips. This course earns credit toward the Cultural Perspectives or Arts requirement."
ARTH,114,"Envision the forty sandstone cave sculptures of the colossal Buddha near Datong. Or the clay army of men and horses guarding the tomb of the first Qin emperor, each figure referring to a living person. Or the multicolored, intricate altars of the mandala (cosmic diagram) in Tibetan monasteries. Or the Ottoman manuscript illumination painted in breath-taking miniaturist detail. Or the foliage of the Japan Zen garden symbolizing the stages of life. Or the painted Indian images of the Hindu god of wisdom Ganesha, elephant-headed and pot-bellied - all these objects offer the opportunity to express religious tenets of Asian peoples. Meanwhile, literati landscape painting, Persian carpets, Japanese woodblock prints, the ceramic vessels of the tea ceremony, the architectural achievements of the Great Wall of China and the Taj Mahal, reputedly an Indian ""monument to love and grief"" dedicated to a wife who died in childbirth, are quasi-secular forms of art. This course surveys the art and architecture of the Middle East and Asia from a variety of historical periods. We consider the role of material products in cultures as diverse as the Maghreb (northwestern coast of Africa) and the Ottoman Empire, China, India, and Japan. We explore the role of artworks as conduits of state ideology and other registers of power, including gender and class. We look at iconography in several media and relate these objects and their motifs to social practices. This course's major goal is to situate the arts in their indigenous contexts of time, space and function. The course borrows methods and information from other disciplines to deepen an understanding of the art objects. The course also utilizes computer technologies to offer students images of ancient ruins, for example, and regular access to our library's databases to locate recent scholarly thinking on these topics. Particular attention is given to locations where Simon's Rock offers study abroad trips. This course fulfills the Writing Intensive requirement OR the Cultural Perspectives OR Arts 	requirement."
ARTH,115,"This course introduces students to twentieth century visual arts, films, and the newly emerging internet culture in China. Students in the course will gain a better understanding of Chinese arts from the perspective of historical, ideological, cultural, and psychological factors. We will also make connections between language, art, and history, though poetry and stories associated with the arts in China. By the end of this course, students are expected to have a better understanding of contemporary Chinese culture and arts. Noprerequistes."
ARTH,116,"Architecture is the art that most impinges on our daily lives, as it creates much of the environment in which we live. This course offers an overview of the foundations of and traditions in Western architecture, thereby giving students a knowledge of and an appreciation for the various aesthetic, religious, political, cultural, social, and symbolic bases for building designs. Beginning with Stonehenge and prehistoric architecture, the class then focuses on some key examples of Egyptian, Greek, Roman, Islamic, Medieval, Renaissance, and Baroque architecture. The last third of the semester deals with modern architecture in Europe and the United States, concentrating on the work of figures such as Sullivan, Wright, Gaudi, Corbusier, Mies van der Rohe, and Gehry. The course is a combination of lecture and discussion and learning outcomes are evaluated on the basis of class participation, exams (including a final exam), and several short papers."
ARTH,206,"As Britain moved into the modern era, the art of the Victorian era (1837-1901) was deeply ideological, that is, representative of various political agendas at particular moments as the country underwent tremendous social, economic and industrial upheaval.  We study the Pre-Raphaelites, a progressive group of young artists, as well as artists working within the Royal Academy.  Some of the themes in Victorian art steeped in ideology are the roles of women--from ""the angel of the house"" to the fallen woman--childhood, the poor, and workers in city and country including the navvy, the farmer, the sempstress and the governess.  As Queen Victoria built her empire, we consider artistic representations of migration, and British cultural anxiety over the making of colonies and the racialized colonial subject in India, Canada and elsewhere.  Paintings of landscapes, both at home and abroad, suggest new ideologies about nature, the world and Britain's place in each.  Besides painting we explore select examples of sculpture, photography and fashion, all imbued with cultural beliefs, as well as Prince Albert's mammoth undertaking, the Crystal Palace, a self-congratulatory, massive display hall for global and especially British industrial goods.  Throughout the course the work of female artists and of the prodigious art critic John Ruskin are given special attention.  We study writing by theorists such as Michel Foucault and Timothy Mitchell to understand Victorian ideologies about religion, sexuality and colonization."
